IPYS_level_1_name;IPYS_level_2_name;geo_level_1_name;geo_level_2_name;geo_level_1_code;geo_level_2_code
Cojedes;Lima Blanco (Macapo);Cojedes;Lima Blanco;VE09;VE0904
Cojedes;Pao de San Juan Bautista (El Pao);Cojedes;Pao de San Juan Bautista;VE09;VE0905
Cojedes;Ricaurte (Libertad);Cojedes;Ricaurte;VE09;VE0906
Cojedes;Rómulo Gallegos;Cojedes;Rómulo Gallegos;VE09;VE0907
Cojedes;Tinaco;Cojedes;Tinaco;VE09;VE0909
Delta Amacuro;Tucupita;Delta Amacuro;Tucupita;VE10;VE1004
Delta Amacuro;Antonio Díaz Curiapo (Curiapo);Delta Amacuro;Antonio Díaz;VE10;VE1001
Delta Amacuro;Casacoima (Sierra Imataca);Delta Amacuro;Casacoima;VE10;VE1002
Delta Amacuro;Pedernales;Delta Amacuro;Pedernales;VE10;VE1003
Distrito capital;Parroquia 23 de enero;Distrito capital;23 de Enero;VE01;VE010122
Distrito capital;Parroquia Altagracia;Distrito capital;Altagracia;VE01;VE010101
Distrito capital;Parroquia Antímano;Distrito capital;Antimano;VE01;VE010102
Distrito capital;Parroquia Candelaria;Distrito capital;Candelaria;VE01;VE010103
Distrito capital;Parroquia Caricuao;Distrito capital;Caricuao;VE01;VE010104
Distrito capital;Parroquia Catedral;Distrito capital;Catedral;VE01;VE010105
Distrito capital;Parroquia Coche;Distrito capital;Coche;VE01;VE010106
Distrito capital;Parroquia El Junquito;Distrito capital;El Junquito;VE01;VE010107
Distrito capital;Parroquia El Paraíso;Distrito capital;El Paraíso;VE01;VE010108
Distrito capital;Parroquia El Recreo;Distrito capital;El Recreo;VE01;VE010109
Distrito capital;Parroquia El Valle;Distrito capital;El Valle;VE01;VE010110
Distrito capital;Parroquia La Pastora;Distrito capital;La Pastora;VE01;VE010111
Distrito capital;Parroquia La Vega;Distrito capital;La Vega;VE01;VE010112
Distrito capital;Parroquia Macarao;Distrito capital;Macarao;VE01;VE010113
Distrito capital;Parroquia San Agustín;Distrito capital;San Agustín;VE01;VE010114
Distrito capital;Parroquia San Bernardino;Distrito capital;San Bernandino;VE01;VE010115
Distrito capital;Parroquia San José;Distrito capital;San José;VE01;VE010116
Distrito capital;Parroquia San Juan;Distrito capital;San Juan;VE01;VE010117
Distrito capital;Parroquia San Pedro;Distrito capital;San Pedro;VE01;VE010118
Distrito capital;Parroquia Santa Rosalía;Distrito capital;Santa Rosalía;VE01;VE010119
Distrito capital;Parroquia Santa Teresa;Distrito capital;Santa Teresa;VE01;VE010120
Distrito capital;Parroquia Sucre;Distrito capital;Sucre;VE01;VE010121
Falcón;Acosta (San Juan de los Cayos);Falcón;Acosta;VE11;VE1101
Falcón;Bolívar (San Luis);Falcón;Bolívar;VE11;VE1102
Falcón;Buchivacoa (Capatárida);Falcón;Buchivacoa;VE11;VE1103
Falcón;Cacique Manaure (Yaracal);Falcón;Cacique Manaure;VE11;VE1104
Falcón;Carirubana (Punto Fijo);Falcón;Carirubana;VE11;VE1105
Falcón;Colina (La Vela de Coro);Falcón;Colina;VE11;VE1106
Falcón;Dabajuro (Dabajuro);Falcón;Dabajuro;VE11;VE1107
Falcón;Democracia (Pedregal);Falcón;Democracia;VE11;VE1108
Falcón;Falcón (Pueblo Nuevo);Falcón;Falcón;VE11;VE1109
Falcón;Federación (Churuguara);Falcón;Federación;VE11;VE1110
Falcón;Jacura;Falcón;Jacura;VE11;VE1111
Falcón;Los Taques (Santa Cruz de Los Taques);Falcón;Los Taques;VE11;VE1112
Falcón;Mauroa (Mene de Mauroa);Falcón;Mauroa;VE11;VE1113
Falcón;Miranda (Santa Ana de Coro);Falcón;Miranda;VE11;VE1114
Falcón;Monseñor Iturriza (Chichiriviche);Falcón;Monseñor Iturriza;VE11;VE1115
Falcón;Palmasola;Falcón;Palmasola;VE11;VE1116
Falcón;Petit (Cabure);Falcón;Petit;VE11;VE1117
Falcón;Píritu (Falcón);Falcón;Piritu;VE11;VE1118
Falcón;San Francisco (Mirimire);Falcón;San Francisco;VE11;VE1119
Falcón;Silva (Tucacas);Falcón;Silva;VE11;VE1120
Falcón;Sucre (La Cruz de Taratara);Falcón;Sucre;VE11;VE1121
Falcón;Tocópero;Falcón;Tocopero;VE11;VE1122
Falcón;Unión (Santa Cruz de Bucaral);Falcón;Unión;VE11;VE1123
Falcón;Urumaco;Falcón;Urumaco;VE11;VE1124
Falcón;Zamora (Puerto Cumarebo);Falcón;Zamora;VE11;VE1125
Guárico;Ortíz;Guárico;Ortiz;VE12;VE1210
Guárico;Chaguaramas;Guárico;Chaguaramas;VE12;VE1202
Guárico;El Socorro;Guárico;El Socorro;VE12;VE1203
Guárico;Esteros de Camaguan;Guárico;Camaguan;VE12;VE1201
Guárico;Francisco de Miranda (Calabozo);Guárico;Francisco de Miranda;VE12;VE1208
Guárico;José Félix Ribas (Tucupido);Guárico;José Félix Ribas;VE12;VE1211
Guárico;José Tadeo Monagas (Altagracia de Orituco);Guárico;José Tadeo Monagas;VE12;VE1209
Guárico;Juan Germán Roscio (San Juan de Los Morros);Guárico;Juan Germán Roscio;VE12;VE1212
Guárico;Julián Mellado (El Sombrero);Guárico;Julián Mellado;VE12;VE1207
Guárico;Las Mercedes;Guárico;Las Mercedes;VE12;VE1206
Guárico;Leonardo Infante (Valle de La Pascua);Guárico;Leonardo Infante;VE12;VE1205
Guárico;Pedro Zaraza (Zaraza);Guárico;Pedro Zaraza;VE12;VE1215
Guárico;San Gerónimo de Guayabal (Guayabal);Guárico;San Gerónimo de Guayabal;VE12;VE1204
Guárico;San José de Guaribe;Guárico;San José de Guaribe;VE12;VE1213
Guárico;Santa María de Ipire;Guárico;Santa María de Ipire;VE12;VE1214
Lara;Andrés Eloy Blanco (Sanare);Lara;Andrés Eloy Blanco;VE13;VE1301
Lara;Crespo (Duaca);Lara;Crespo;VE13;VE1302
Lara;Iribarren (Barquisimeto);Lara;Iribarren;VE13;VE1303
Lara;Jiménez (Quibor);Lara;Jiménez;VE13;VE1304
Lara;Morán (El Tocuyo);Lara;Moran;VE13;VE1305
Lara;Palavecino (Cabudare);Lara;Palavecino;VE13;VE1306
Lara;Simón Planas (Sarare);Lara;Simón Planas;VE13;VE1307
Lara;Torres (Carora);Lara;Torres;VE13;VE1308
Lara;Urdaneta (Siquisique);Lara;Urdaneta;VE13;VE1309
Mérida;Alberto Adriani (El Vigía);Mérida;Alberto Adriani;VE14;VE1401
Mérida;Andrés Bello (La Azulita);Mérida;Andrés Bello;VE14;VE1402
Mérida;Aricagua;Mérida;Aricagua;VE14;VE1404
Mérida;Briceño (Torondoy);Mérida;Justo Briceño;VE14;VE1411
Mérida;Campo Elías (Ejido);Mérida;Campo Elías;VE14;VE1406
Mérida;Chacón (Canaguá);Mérida;Arzobispo Chacón;VE14;VE1405
Mérida;Dávila (Bailadores);Mérida;Rivas Dávila;VE14;VE1418
Mérida;Febres Cordero (Nueva Bolivia);Mérida;Tulio Febres Cordero;VE14;VE1422
Mérida;Guaraque (Guaraque);Mérida;Guaraque;VE14;VE1409
Mérida;Libertador (Mérida);Mérida;Libertador;VE14;VE1412
Mérida;Marquina (Tabay);Mérida;Santos Marquina;VE14;VE1419
Mérida;Miranda (Timotes);Mérida;Miranda;VE14;VE1413
Mérida;Noguera (Santa María de Caparo);Mérida;Padre Noguera;VE14;VE1415
Mérida;Parra Olmedo (Tucaní);Mérida;Caracciolo Parra Olmedo;VE14;VE1407
Mérida;Antonio Pinto Salinas (Santa Cruz de Mora);Mérida;Antonio Pinto Salinas;VE14;VE1403
Mérida;Pueblo Llano;Mérida;Pueblo Llano;VE14;VE1416
Mérida;Quintero (Santo Domingo);Mérida;Cardenal Quintero;VE14;VE1408
Mérida;Ramos de Lora (Santa Elena de Arenales);Mérida;Obispo Ramos de Lora;VE14;VE1414
Mérida;Rangel (Mucuchíes);Mérida;Rangel;VE14;VE1417
Mérida;Salas (Arapuey);Mérida;Julio Cesar Sala;VE14;VE1410
Mérida;Sucre (Lagunillas);Mérida;Sucre;VE14;VE1420
Mérida;Zea;Mérida;Zea;VE14;VE1423
Mérida;Tovar;Mérida;Tovar;VE14;VE1421
Miranda;Acevedo (Caucagua);Miranda;Acevedo;VE15;VE1501
Miranda;Andrés Bello (San José de Barlovento);Miranda;Andrés Bello;VE15;VE1502
Miranda;Baruta;Miranda;Baruta;VE15;VE1503
Miranda;Brión (Higuerote);Miranda;Brión;VE15;VE1504
Miranda;Buroz (Mamporal);Miranda;Buroz;VE15;VE1505
Miranda;Carrizal;Miranda;Carrizal;VE15;VE1506
Miranda;Chacao;Miranda;Chacao;VE15;VE1507
Miranda;Cristóbal Rojas (Charallave);Miranda;Cristóbal Rojas;VE15;VE1508
Miranda;El Hatillo;Miranda;El Hatillo;VE15;VE1509
Miranda;Guaicaipuro (Los Teques);Miranda;Bolivariano Guaicaipuro;VE15;VE1510
Miranda;Independencia (Santa Teresa del Tuy);Miranda;Independencia;VE15;VE1511
Miranda;Lander (Ocumare del Tuy);Miranda;Lander;VE15;VE1512
Miranda;Los Salias (San Antonio de los Altos);Miranda;Los Salías;VE15;VE1513
Miranda;Páez (Río Chico);Miranda;Páez;VE15;VE1514
Miranda;Paz Castillo (Santa Lucía);Miranda;Paz Castillo;VE15;VE1515
Miranda;Pedro Gual (Cúpira);Miranda;Pedro Gual;VE15;VE1516
Miranda;Plaza (Guarenas);Miranda;Plaza;VE15;VE1517
Miranda;Simón Bolívar (San Francisco de Yare);Miranda;Simón Bolívar;VE15;VE1518
Miranda;Sucre (Petare);Miranda;Sucre;VE15;VE1519
Miranda;Urdaneta (Cúa);Miranda;Urdaneta;VE15;VE1520
Miranda;Zamora (Guatire);Miranda;Zamora;VE15;VE1521
Monagas;Acosta (San Antonio de Capayacuar);Monagas;Acosta;VE16;VE1601
Monagas;Aguasay;Monagas;Aguasay;VE16;VE1602
Monagas;Bolívar (Caripito);Monagas;Bolívar;VE16;VE1603
Monagas;Caripe;Monagas;Caripe;VE16;VE1604
Monagas;Cedeño (Caicara de Maturín);Monagas;Cedeño;VE16;VE1605
Monagas;Libertador (Temblador);Monagas;Libertador;VE16;VE1607
Monagas;Maturín;Monagas;Maturín;VE16;VE1608
Monagas;Piar (Aragua de Maturín);Monagas;Piar;VE16;VE1609
Monagas;Punceres (Quiriquire);Monagas;Punceres;VE16;VE1610
Monagas;Santa Bárbara;Monagas;Santa Babara;VE16;VE1611
Monagas;Sotillo (Barrancas del Orinoco);Monagas;Sotillo;VE16;VE1612
Monagas;Uracoa;Monagas;Uracoa;VE16;VE1613
Monagas;Zamora (Punta de Mata);Monagas;Ezequiel Zamora;VE16;VE1606
Nueva Esparta;Antolín del Campo (La Plaza de Paraguachí);Nueva Esparta;Antolín del Campo;VE17;VE1701
Nueva Esparta;Arismendi (La Asunción);Nueva Esparta;Arismendi;VE17;VE1702
Nueva Esparta;Díaz (San Juan Bautista);Nueva Esparta;Díaz;VE17;VE1703
Nueva Esparta;García (El Valle del Espíritu Santo);Nueva Esparta;García;VE17;VE1704
Nueva Esparta;Gómez (Santa Ana);Nueva Esparta;Gómez;VE17;VE1705
Nueva Esparta;Maneiro (Pampatar);Nueva Esparta;Maneiro;VE17;VE1706
Nueva Esparta;Marcano (Juan Griego);Nueva Esparta;Marcano;VE17;VE1707
Nueva Esparta;Mariño (Porlamar);Nueva Esparta;Mariño;VE17;VE1708
Nueva Esparta;Península de Macanao (Boca de Río);Nueva Esparta;Macanao;VE17;VE1709
Nueva Esparta;Tubores (Punta de Piedras);Nueva Esparta;Tubores;VE17;VE1710
Nueva Esparta;Villalba (San Pedro de Coche);Nueva Esparta;Villalba;VE17;VE1711
Portuguesa;Agua Blanca;Portuguesa;Agua Blanca;VE18;VE1801
Portuguesa;Araure;Portuguesa;Araure;VE18;VE1802
Portuguesa;Esteller (Píritu);Portuguesa;Esteller;VE18;VE1803
Portuguesa;Guanare;Portuguesa;Guanare;VE18;VE1804
Portuguesa;Guanarito;Portuguesa;Guanarito;VE18;VE1805
Portuguesa;Monseñor José Vicenti de Unda (Chabasquén de Unda);Portuguesa;Monseñor José Vicente de Und;VE18;VE1806
Portuguesa;Ospino;Portuguesa;Ospino;VE18;VE1807
Portuguesa;Páez (Acarigua);Portuguesa;Páez;VE18;VE1808
Portuguesa;Papelón;Portuguesa;Papelón;VE18;VE1809
Portuguesa;San Genaro de Boconoíto (Boconoíto);Portuguesa;San Genaro de Boconoito;VE18;VE1810
Portuguesa;San Rafael de Onoto;Portuguesa;San Rafael de Onoto;VE18;VE1811
Portuguesa;Santa Rosalía (El Playón);Portuguesa;Santa Rosalía;VE18;VE1812
Portuguesa;Sucre (Biscucuy);Portuguesa;Sucre;VE18;VE1813
Portuguesa;Turén (Villa Bruzual);Portuguesa;Turen;VE18;VE1814
Sucre;Andrés Eloy Blanco (Casanay);Sucre;Andrés Eloy Blanco;VE19;VE1901
Sucre;Andrés Mata (San José de Aerocuar);Sucre;Andrés Mata;VE19;VE1902
Sucre;Arismendi (Río Caribe);Sucre;Arismendi;VE19;VE1903
Sucre;Benítez (El Pilar);Sucre;Benítez;VE19;VE1904
Sucre;Bermúdez (Carúpano);Sucre;Bermúdez;VE19;VE1905
Sucre;Bolívar (Marigüitar);Sucre;Bolívar;VE19;VE1906
Sucre;Cajigal (Yaguaraparo);Sucre;Cajigal;VE19;VE1907
Sucre;Cruz Salmerón Acosta (Araya);Sucre;Cruz Salmerón Acosta;VE19;VE1908
Sucre;Libertador (Tunapuy);Sucre;Libertador;VE19;VE1909
Sucre;Mariño (Irapa).;Sucre;Mariño;VE19;VE1910
Sucre;Mejía (San Antonio del Golfo);Sucre;Mejía;VE19;VE1911
Sucre;Montes (Cumanacoa);Sucre;Montes;VE19;VE1912
Sucre;Ribero (Cariaco);Sucre;Ribero;VE19;VE1913
Sucre;Sucre (Cumaná);Sucre;Sucre;VE19;VE1914
Sucre;Valdez (Güiria);Sucre;Valdez;VE19;VE1915
Táchira;Andrés Bello (Cordero);Táchira;Andrés Bello;VE20;VE2001
Táchira;Antonio Rómulo Costa (Las Mesas);Táchira;Antonio Rómulo Costa;VE20;VE2002
Táchira;Ayacucho (Colón);Táchira;Ayacucho;VE20;VE2003
Táchira;Bolívar (San Antonio del Táchira);Táchira;Bolívar;VE20;VE2004
Táchira;Cárdenas (Táriba);Táchira;Cárdenas;VE20;VE2005
Táchira;Córdoba (Santa Ana de Táchira);Táchira;Córdoba;VE20;VE2006
Táchira;Fernández Feo (San Rafael del Piñal);Táchira;Fernández Feo;VE20;VE2007
Táchira;Francisco de Miranda (San José de Bolívar);Táchira;Francisco de Miranda;VE20;VE2008
Táchira;García de Hevia (La Fría);Táchira;García de Hevia;VE20;VE2009
Táchira;Guásimos (Palmira);Táchira;Guasimos;VE20;VE2010
Táchira;Independencia (Capacho Nuevo);Táchira;Independencia;VE20;VE2011
Táchira;Jáuregui (La Grita);Táchira;Jáuregui;VE20;VE2012
Táchira;José María Vargas (El Cobre);Táchira;José María Vargas;VE20;VE2013
Táchira;Junín (Rubio);Táchira;Junín;VE20;VE2014
Táchira;Libertad (Capacho Viejo);Táchira;Libertad;VE20;VE2015
Táchira;Libertador (Abejales);Táchira;Libertador;VE20;VE2016
Táchira;Lobatera;Táchira;Lobatera;VE20;VE2017
Táchira;Michelena;Táchira;Michelena;VE20;VE2018
Táchira;Panamericano (Coloncito);Táchira;Panamericano;VE20;VE2019
Táchira;Pedro María Ureña (Ureña);Táchira;Pedro María Ureña;VE20;VE2020
Táchira;Rafael Urdaneta (Delicias);Táchira;Rafael Urdaneta;VE20;VE2021
Táchira;Samuel Dario Maldonado (La Tendida);Táchira;Samuel Darío Maldonado;VE20;VE2022
Táchira;San Cristóbal;Táchira;San Cristóbal;VE20;VE2023
Táchira;San Judas Tadeo (Umuquena);Táchira;San Judas Tadeo;VE20;VE2029
Táchira;Seboruco;Táchira;Seboruco;VE20;VE2024
Táchira;Simón Rodríguez (San Simon);Táchira;Simón Rodríguez;VE20;VE2025
Táchira;Sucre (Queniquea);Táchira;Sucre;VE20;VE2026
Táchira;Torbes (San Josecito);Táchira;Torbes;VE20;VE2027
Táchira;Uribante (Pregonero);Táchira;Uribante;VE20;VE2028
Trujillo;Andrés Bello (Santa Isabel);Trujillo;Andrés Bello;VE21;VE2101
Trujillo;Boconó;Trujillo;Bocono;VE21;VE2102
Trujillo;Bolívar (Sabana Grande);Trujillo;Bolívar;VE21;VE2103
Trujillo;Campos Elías;Trujillo;Juan Vicente Campo Elías;VE21;VE2108
Trujillo;Candelaria (Chejendé);Trujillo;Candelaria;VE21;VE2104
Trujillo;Carache;Trujillo;Carache;VE21;VE2105
Trujillo;Carvajal (Carvajal);Trujillo;San Rafael de Carvajal;VE21;VE2116
Trujillo;Escuque;Trujillo;Escuque;VE21;VE2106
Trujillo;La Ceiba (Santa Apolonia);Trujillo;La Ceiba;VE21;VE2109
Trujillo;Márquez Cañizales (El Paradero);Trujillo;José Felipe Márquez Cañizal;VE21;VE2107
Trujillo;Miranda (El Dividive);Trujillo;Miranda;VE21;VE2110
Trujillo;Monte Carmelo;Trujillo;Monte Carmelo;VE21;VE2111
Trujillo;Motatán;Trujillo;Motatan;VE21;VE2112
Trujillo;Pampán;Trujillo;Pampan;VE21;VE2113
Trujillo;Pampanito;Trujillo;Pampanito;VE21;VE2114
Trujillo;Rangel (Betijoque);Trujillo;Rafael Rangel;VE21;VE2115
Trujillo;Sucre (Sabana de Mendoza);Trujillo;Sucre;VE21;VE2117
Trujillo;Trujillo;Trujillo;Trujillo;VE21;VE2118
Trujillo;Urdaneta (La Quebrada);Trujillo;Urdaneta;VE21;VE2119
Trujillo;Valera;Trujillo;Valera;VE21;VE2120
Vargas;Parroquia Caraballeda;Vargas;Caraballeda;VE24;VE240101
Vargas;Parroquia Carayaca;Vargas;Carayaca;VE24;VE240102
Vargas;Parroquia Carlos Soublette;Vargas;Carlos Soublette;VE24;VE240111
Vargas;Parroquia Caruao;Vargas;Caruao;VE24;VE240103
Vargas;Parroquia Catia La Mar;Vargas;Catia la Mar;VE24;VE240104
Vargas;Parroquia El Junko;Vargas;El Junko;VE24;VE240105
Vargas;Parroquia La Guaira;Vargas;La Guaira;VE24;VE240106
Vargas;Parroquia Macuto;Vargas;Macuto;VE24;VE240107
Vargas;Parroquia Maiquetía;Vargas;Maiquetía;VE24;VE240108
Vargas;Parroquia Naiguatá;Vargas;Naiguata;VE24;VE240109
Vargas;Parroquia Urimare;Vargas;Urimare;VE24;VE240110
Yaracuy;Arístides Bastidas (San Pablo);Yaracuy;Arístides Bastidas;VE22;VE2201
Yaracuy;Bolívar (Aroa);Yaracuy;Bolívar;VE22;VE2202
Yaracuy;Bruzual (Chivacoa);Yaracuy;Bruzual;VE22;VE2203
Yaracuy;Cocorote;Yaracuy;Cocorote;VE22;VE2204
Yaracuy;Independencia;Yaracuy;Independencia;VE22;VE2205
Yaracuy;La Trinidad (Boraure);Yaracuy;La Trinidad;VE22;VE2207
Yaracuy;Monge (Yumare);Yaracuy;Manuel Monge;VE22;VE2208
Yaracuy;Nirgua;Yaracuy;Nirgua;VE22;VE2209
Yaracuy;Páez (Sabana de Parra);Yaracuy;José Antonio Páez;VE22;VE2206
Yaracuy;Peña (Yaritagua);Yaracuy;Peña;VE22;VE2210
Yaracuy;San Felipe;Yaracuy;San Felipe;VE22;VE2211
Yaracuy;Sucre (Guama);Yaracuy;Sucre;VE22;VE2212
Yaracuy;Urachiche;Yaracuy;Urachiche;VE22;VE2213
Yaracuy;Veroes (Farriar);Yaracuy;Veroes;VE22;VE2214
Zulia;Baralt (San Timoteo);Zulia;Baralt;VE23;VE2302
Zulia;Bolívar (Tía Juana);Zulia;Simón Bolívar;VE23;VE2319
Zulia;Cabimas;Zulia;Cabimas;VE23;VE2303
Zulia;Catatumbo (Encontrados);Zulia;Catatumbo;VE23;VE2304
Zulia;Colón (San Carlos del Zulia);Zulia;Colon;VE23;VE2305
Zulia;Guajira (Sinamaica);Zulia;Indígena Bolivariano Guajira;VE23;VE2315
Zulia;La Cañada de Urdaneta (Concepción);Zulia;La Cañada de Urdaneta;VE23;VE2309
Zulia;Lagunillas (Ciudad Ojeda);Zulia;Lagunillas;VE23;VE2310
Zulia;Lossada (La Concepción);Zulia;Jesús Enrique Lossada;VE23;VE2307
Zulia;Machiques;Zulia;Machiques de Perija;VE23;VE2311
Zulia;Mara (San Rafael del Moján);Zulia;Mara;VE23;VE2312
Zulia;Maracaibo;Zulia;Maracaibo;VE23;VE2313
Zulia;Miranda (Los Puertos de Altagracia);Zulia;Miranda;VE23;VE2314
Zulia;Padilla (El Toro);Zulia;Almirante Padilla;VE23;VE2301
Zulia;Pulgar (Pueblo Nuevo;Zulia;Francisco Javier Pulgar;VE23;VE2306
Zulia;Rosario (La Villa del Rosario);Zulia;Rosario de Perija;VE23;VE2316
Zulia;San Francisco;Zulia;San Francisco;VE23;VE2317
Zulia;Santa Rita;Zulia;Santa Rita;VE23;VE2318
Zulia;Semprún (Casigua El Cubo);Zulia;Jesús María Semprum;VE23;VE2308
Zulia;Sucre (Bobures);Zulia;Sucre;VE23;VE2320
Zulia;Valmore Rodríguez (Bachaquero);Zulia;Valmore Rodríguez;VE23;VE2321
